Major,Course,Score,Grade,Evaluation
CS,CS_101,46.1,F,4
CS,CS_102,81.71,B,8
CS,CS_103,68.13,D,9
CS,CS_101,62.55,D,6
CS,CS_102,76.94,C,7
CS,CS_103,72.96,C,8
CS,CS_101,71.19,C,7
CS,CS_102,89.35,B,10
CS,CS_103,74.4,C,7
CS,CS_101,93.63,A,10
CS,CS_102,69.59,D,9
CS,CS_103,78.02,C,8
CS,CS_101,76.26,C,8
CS,CS_102,79.36,C,9
CS,CS_103,74.16,C,7
CS,CS_101,81.51,B,8
CS,CS_102,76.32,C,8
CS,CS_103,67.27,D,9
CS,CS_101,79.37,C,9
CS,CS_102,83.13,B,6
CS,CS_103,67.23,D,6
CS,CS_101,79.74,C,9
CS,CS_102,59.25,F,6
CS,CS_103,79.5,C,8
CS,CS_101,81.98,B,8
CS,CS_102,61.51,D,7
CS,CS_103,69.52,D,6
CS,CS_101,78.23,C,7
CS,CS_102,62.91,D,8
CS,CS_103,53.62,F,5
CS,CS_101,94.34,A,10
CS,CS_102,69.01,D,8
CS,CS_103,80.16,B,8
CS,CS_101,67.74,D,7
CS,CS_102,59.13,F,6
CS,CS_103,76.36,C,8
CS,CS_101,88.43,B,8
CS,CS_102,62.97,D,7
CS,CS_103,72.17,C,7
CS,CS_101,85.75,B,9
CS,CS_102,75.74,C,6
CS,CS_103,66.89,D,9
CS,CS_101,80.41,B,8
CS,CS_102,84.84,B,9
CS,CS_103,65.44,D,8
CS,CS_101,60.11,D,7
CS,CS_102,74.13,C,9
CS,CS_103,73.79,C,7
CS,CS_101,56.79,F,5
CS,CS_102,72.14,C,6
CS,CS_103,60.76,D,5
CS,CS_101,70.48,C,7
CS,CS_102,62.89,D,7
CS,CS_103,74.65,C,8
CS,CS_101,78.51,C,9
CS,CS_102,71.64,C,9
CS,CS_103,54.38,F,6
CS,CS_101,69.66,D,7
CS,CS_102,56.24,F,5
CS,CS_103,66.75,D,7
CS,CS_101,69.78,D,9
CS,CS_102,64.7,D,7
CS,CS_103,81.03,B,8
CS,CS_101,70.08,C,6
CS,CS_102,64.41,D,5
CS,CS_103,62.44,D,8
CS,CS_101,61.02,D,5
CS,CS_102,68.24,D,7
CS,CS_103,73.01,C,6
CS,CS_101,69.32,D,8
CS,CS_102,72.89,C,7
CS,CS_103,59.16,F,6
CS,CS_101,89.93,B,10
CS,CS_102,65.49,D,7
CS,CS_103,64.3,D,8
CS,CS_101,77.73,C,9
CS,CS_102,79.16,C,7
CS,CS_103,73.15,C,6
CS,CS_101,87.05,B,9
CS,CS_102,72.75,C,6
CS,CS_103,68.06,D,7
CS,CS_101,86.26,B,9
CS,CS_102,78.85,C,10
CS,CS_103,86.7,B,9
CS,CS_101,57.78,F,5
CS,CS_102,75.67,C,7
CS,CS_103,72.1,C,4
CS,CS_101,75.21,C,9
CS,CS_102,79.51,C,8
CS,CS_103,58.35,F,5
CS,CS_101,80.51,B,10
CS,CS_102,69.05,D,7
CS,CS_103,73.34,C,7
CS,CS_101,72.45,C,8
CS,CS_102,100,A,10
CS,CS_103,68.97,D,6
CS,CS_101,61.21,D,5
CS,CS_102,70.97,C,8
CS,CS_103,67.69,D,6
CS,CS_101,73.07,C,8
CS,CS_102,83.16,B,7
CS,CS_103,62.3,D,7
CS,CS_101,85.29,B,8
CS,CS_102,62.54,D,7
CS,CS_103,71.51,C,7
CS,CS_101,73.31,C,8
CS,CS_102,65.55,D,7
CS,CS_103,79.29,C,7
CS,CS_101,83.28,B,8
CS,CS_102,69.76,D,7
CS,CS_103,61.07,D,6
CS,CS_101,61.36,D,7
CS,CS_102,74.54,C,6
CS,CS_103,63.92,D,5
CS,CS_101,65.66,D,6
CS,CS_102,68.18,D,6
CS,CS_103,59.17,F,8
CS,CS_101,79.74,C,9
CS,CS_102,69.24,D,6
CS,CS_103,62.47,D,5
CS,CS_101,72.75,C,10
CS,CS_102,61.35,D,6
CS,CS_103,64.16,D,8
CS,CS_101,80.1,B,10
CS,CS_102,55.51,F,4
CS,CS_103,76.56,C,8
CS,CS_101,51.36,F,5
CS,CS_102,69.73,D,7
CS,CS_103,70.64,C,6
CS,CS_101,65.27,D,8
CS,CS_102,89.02,B,10
CS,CS_103,63.4,D,7
CS,CS_101,74.19,C,6
CS,CS_102,60.59,D,9
CS,CS_103,53.27,F,5
CS,CS_101,91.39,A,9
CS,CS_102,76.94,C,10
CS,CS_103,68.54,D,6
CS,CS_101,77.47,C,7
CS,CS_102,62.85,D,5
CS,CS_103,49.46,F,4
CS,CS_101,84.12,B,10
CS,CS_102,58.96,F,6
CS,CS_103,63.32,D,7
CS,CS_101,83.45,B,10
CS,CS_102,68.5,D,6
CS,CS_103,59.8,F,5
CS,CS_101,78.95,C,7
CS,CS_102,49.99,F,3
CS,CS_103,70.25,C,6
CS,CS_101,84.38,B,9
CS,CS_102,60.7,D,6
CS,CS_103,66.07,D,5
CS,CS_101,60.89,D,7
CS,CS_102,67.17,D,6
CS,CS_103,85.27,B,8
CS,CS_101,78.14,C,8
CS,CS_102,88.64,B,8
CS,CS_103,70.33,C,8
CS,CS_101,69.12,D,6
CS,CS_102,67.53,D,5
CS,CS_103,57.83,F,6
CS,CS_101,71.37,C,8
CS,CS_102,62.81,D,6
CS,CS_103,72.48,C,7
CS,CS_101,68.43,D,8
CS,CS_102,63.75,D,6
CS,CS_103,72.72,C,8
