student_id,course_id,course_name,semester,grade,credits,grade_date
101,CS101,Introduction to Programming,Fall 2022,A,4,2022-12-28
101,MATH201,Calculus I,Fall 2022,B+,4,2022-12-30
101,CS102,Data Structures,Spring 2023,A-,4,2023-05-25
101,CS201,Algorithms,Fall 2023,A,4,2023-12-27
102,MATH201,Calculus I,Fall 2021,B,4,2021-12-29
102,MATH202,Calculus II,Spring 2022,B+,4,2022-05-26
102,MATH301,Linear Algebra,Fall 2022,A-,4,2022-12-28
102,STAT201,Statistics,Spring 2023,B+,3,2023-05-27
103,BIO101,General Biology,Fall 2023,A,4,2023-12-26
103,CHEM101,General Chemistry,Fall 2023,A-,4,2023-12-28
103,BIO102,Cell Biology,Spring 2024,A,4,2024-05-23
104,PHYS101,Physics I,Fall 2022,B+,4,2022-12-27
104,PHYS102,Physics II,Spring 2023,B,4,2023-05-24
104,MATH201,Calculus I,Fall 2022,A-,4,2022-12-29
105,CHEM101,General Chemistry,Fall 2021,,4,
105,CHEM201,Organic Chemistry,Spring 2022,B,4,2022-05-25
105,CHEM202,Analytical Chemistry,Fall 2022,B+,4,2022-12-30
106,CS101,Introduction to Programming,Fall 2023,B,4,2023-12-26
106,CS102,Data Structures,Spring 2024,B+,4,2024-05-22
107,MATH201,Calculus I,Fall 2022,A-,4,2022-12-28
107,MATH202,Calculus II,Spring 2023,B+,4,2023-05-25
107,STAT201,Statistics,Fall 2023,A,3,2023-12-29
108,BIO101,General Biology,Fall 2021,B+,4,2021-12-27
108,BIO201,Genetics,Spring 2022,B,4,2022-05-24
108,BIO301,Molecular Biology,Fall 2022,B+,4,2022-12-26
109,PHYS101,Physics I,Fall 2023,,4,
109,MATH201,Calculus I,Fall 2023,B-,4,2023-12-28
110,CHEM101,General Chemistry,Fall 2022,B+,4,2022-12-27
110,CHEM201,Organic Chemistry,Spring 2023,B,4,2023-05-26
111,CS101,Introduction to Programming,Fall 2021,A,4,2021-12-28
111,CS102,Data Structures,Spring 2022,A,4,2022-05-26
111,CS201,Algorithms,Fall 2022,A-,4,2022-12-29
112,MATH201,Calculus I,Fall 2023,B,4,2023-12-27
112,STAT201,Statistics,Spring 2024,B+,3,2024-05-24
113,BIO101,General Biology,Fall 2022,A-,4,2022-12-26
113,BIO102,Cell Biology,Spring 2023,B+,4,2023-05-27
114,PHYS101,Physics I,Fall 2021,B,4,2021-12-29
114,PHYS102,Physics II,Spring 2022,B+,4,2022-05-25
114,PHYS201,Modern Physics,Fall 2022,B,4,2022-12-30
115,CHEM101,General Chemistry,Fall 2023,A-,4,2023-12-28
115,CHEM201,Organic Chemistry,Spring 2024,A,4,2024-05-23
116,CS101,Introduction to Programming,Fall 2022,,4,
116,CS102,Data Structures,Spring 2023,B,4,2023-05-26
117,MATH201,Calculus I,Fall 2021,B+,4,2021-12-28
117,MATH301,Linear Algebra,Spring 2022,B,4,2022-05-27
118,BIO101,General Biology,Fall 2023,B-,4,2023-12-27
119,PHYS101,Physics I,Fall 2022,A-,4,2022-12-28
119,PHYS102,Physics II,Spring 2023,B+,4,2023-05-25
120,CHEM101,General Chemistry,Fall 2021,A-,4,2021-12-30
120,CHEM201,Organic Chemistry,Spring 2022,B+,4,2022-05-26
120,CHEM301,Physical Chemistry,Fall 2022,B,4,2022-12-27
121,CS101,Introduction to Programming,Fall 2023,B+,4,2023-12-29
122,MATH201,Calculus I,Fall 2022,A,4,2022-12-27
122,MATH202,Calculus II,Spring 2023,A-,4,2023-05-24
123,BIO101,General Biology,Fall 2021,,4,
123,BIO201,Genetics,Spring 2022,B+,4,2022-05-28
124,PHYS101,Physics I,Fall 2023,B,4,2023-12-26
125,CHEM101,General Chemistry,Fall 2022,A-,4,2022-12-29
125,CHEM201,Organic Chemistry,Spring 2023,B+,4,2023-05-27
126,CS101,Introduction to Programming,Fall 2021,B,4,2021-12-27
126,CS201,Algorithms,Spring 2022,B+,4,2022-05-24
127,MATH201,Calculus I,Fall 2023,A,4,2023-12-28
128,BIO101,General Biology,Fall 2022,B+,4,2022-12-28
128,BIO102,Cell Biology,Spring 2023,B,4,2023-05-26
129,PHYS101,Physics I,Fall 2021,A-,4,2021-12-30
129,PHYS201,Modern Physics,Spring 2022,B+,4,2022-05-25
130,CHEM101,General Chemistry,Fall 2023,B,4,2023-12-27
155,CS101,Introduction to Programming,Fall 2023,A,4,2023-12-26
156,MATH201,Calculus I,Fall 2023,B+,4,2023-12-29
157,BIO101,General Biology,Fall 2023,A-,4,2023-12-28
