survived,class,sex,age,siblings_spouses,parents_children,fare,port
0,3rd,male,22.0,1,0,7.25,Southampton
1,1st,female,38.0,1,0,71.28,Cherbourg
1,3rd,female,26.0,0,0,7.92,Southampton
1,1st,female,35.0,1,0,53.1,Southampton
0,3rd,male,35.0,0,0,8.05,Southampton
0,3rd,male,,0,0,8.46,Queenstown
0,1st,male,54.0,0,0,51.86,Southampton
0,3rd,male,2.0,3,1,21.08,Southampton
1,3rd,female,27.0,0,2,11.13,Southampton
1,2nd,female,14.0,1,0,30.07,Cherbourg
1,3rd,female,4.0,1,1,16.7,Southampton
1,1st,female,58.0,0,0,26.55,Southampton
0,3rd,male,20.0,0,0,8.05,Southampton
0,3rd,male,39.0,1,5,31.28,Southampton
0,3rd,female,14.0,0,0,7.85,Southampton
1,2nd,female,55.0,0,0,16.0,Southampton
0,3rd,male,2.0,4,1,29.12,Queenstown
1,2nd,male,,0,0,13.0,Southampton
0,3rd,female,31.0,1,0,18.0,Southampton
1,3rd,female,,0,0,7.22,Cherbourg
0,2nd,male,35.0,0,0,26.0,Southampton
1,2nd,male,34.0,0,0,13.0,Southampton
1,3rd,female,15.0,0,0,8.03,Queenstown
1,1st,male,28.0,0,0,35.5,Southampton
0,3rd,female,8.0,3,1,21.08,Southampton
1,3rd,female,38.0,1,5,31.39,Southampton
0,3rd,male,,0,0,7.22,Cherbourg
0,1st,male,19.0,3,2,263.0,Southampton
1,3rd,female,,0,0,7.88,Queenstown
0,3rd,male,,0,0,7.9,Southampton
0,1st,male,40.0,0,0,27.72,Cherbourg
1,1st,female,,1,0,146.52,Cherbourg
1,3rd,female,,0,0,7.75,Queenstown
0,2nd,male,66.0,0,0,10.5,Southampton
0,1st,male,28.0,1,0,82.17,Cherbourg
0,1st,male,42.0,1,0,52.0,Southampton
1,3rd,male,,0,0,7.23,Cherbourg
0,3rd,male,21.0,0,0,8.05,Southampton
0,3rd,female,18.0,2,0,18.0,Southampton
1,3rd,female,14.0,1,0,11.24,Cherbourg
0,3rd,female,40.0,1,0,9.48,Southampton
0,2nd,female,27.0,1,0,21.0,Southampton
0,3rd,male,,0,0,7.9,Cherbourg
1,2nd,female,3.0,1,2,41.58,Cherbourg
1,3rd,female,19.0,0,0,7.88,Queenstown
0,3rd,male,,0,0,8.05,Southampton
0,3rd,male,,1,0,15.5,Queenstown
1,3rd,female,,0,0,7.75,Queenstown
0,3rd,male,,2,0,21.68,Cherbourg
0,3rd,female,18.0,1,0,17.8,Southampton
0,3rd,male,7.0,4,1,39.69,Southampton
0,3rd,male,21.0,0,0,7.8,Southampton
1,1st,female,49.0,1,0,76.73,Cherbourg
1,2nd,female,29.0,1,0,26.0,Southampton
0,1st,male,65.0,0,1,61.98,Cherbourg
1,1st,male,,0,0,35.5,Southampton
1,2nd,female,21.0,0,0,10.5,Southampton
0,3rd,male,28.5,0,0,7.23,Cherbourg
1,2nd,female,5.0,1,2,27.75,Southampton
0,3rd,male,11.0,5,2,46.9,Southampton
0,3rd,male,22.0,0,0,7.23,Cherbourg
1,1st,female,38.0,0,0,80.0,
0,1st,male,45.0,1,0,83.48,Southampton
0,3rd,male,4.0,3,2,27.9,Southampton
0,1st,male,,0,0,27.72,Cherbourg
1,3rd,male,,1,1,15.25,Cherbourg
1,2nd,female,29.0,0,0,10.5,Southampton
0,3rd,male,19.0,0,0,8.16,Southampton
1,3rd,female,17.0,4,2,7.92,Southampton
0,3rd,male,26.0,2,0,8.66,Southampton
0,2nd,male,32.0,0,0,10.5,Southampton
0,3rd,female,16.0,5,2,46.9,Southampton
0,2nd,male,21.0,0,0,73.5,Southampton
0,3rd,male,26.0,1,0,14.45,Cherbourg
1,3rd,male,32.0,0,0,56.5,Southampton
0,3rd,male,25.0,0,0,7.65,Southampton
0,3rd,male,,0,0,7.9,Southampton
0,3rd,male,,0,0,8.05,Southampton
1,2nd,male,0.83,0,2,29.0,Southampton
1,3rd,female,30.0,0,0,12.48,Southampton
0,3rd,male,22.0,0,0,9.0,Southampton
1,3rd,male,29.0,0,0,9.5,Southampton
1,3rd,female,,0,0,7.79,Queenstown
0,1st,male,28.0,0,0,47.1,Southampton
1,2nd,female,17.0,0,0,10.5,Southampton
1,3rd,female,33.0,3,0,15.85,Southampton
0,3rd,male,16.0,1,3,34.38,Southampton
0,3rd,male,,0,0,8.05,Southampton
1,1st,female,23.0,3,2,263.0,Southampton
0,3rd,male,24.0,0,0,8.05,Southampton
0,3rd,male,29.0,0,0,8.05,Southampton
0,3rd,male,20.0,0,0,7.85,Southampton
0,1st,male,46.0,1,0,61.18,Southampton
0,3rd,male,26.0,1,2,20.58,Southampton
0,3rd,male,59.0,0,0,7.25,Southampton
0,3rd,male,,0,0,8.05,Southampton
0,1st,male,71.0,0,0,34.65,Cherbourg
1,1st,male,23.0,0,1,63.36,Cherbourg
1,2nd,female,34.0,0,1,23.0,Southampton
0,2nd,male,34.0,1,0,26.0,Southampton
0,3rd,female,28.0,0,0,7.9,Southampton
0,3rd,male,,0,0,7.9,Southampton
0,1st,male,21.0,0,1,77.29,Southampton
0,3rd,male,33.0,0,0,8.65,Southampton
0,3rd,male,37.0,2,0,7.92,Southampton
0,3rd,male,28.0,0,0,7.9,Southampton
1,3rd,female,21.0,0,0,7.65,Southampton
1,3rd,male,,0,0,7.78,Southampton
0,3rd,male,38.0,0,0,7.9,Southampton
1,3rd,female,,1,0,24.15,Queenstown
0,1st,male,47.0,0,0,52.0,Southampton
0,3rd,female,14.5,1,0,14.45,Cherbourg
0,3rd,male,22.0,0,0,8.05,Southampton
0,3rd,female,20.0,1,0,9.82,Southampton
0,3rd,female,17.0,0,0,14.46,Cherbourg
