snp	chromosome
1_SNP1	1
1_SNP2	1
1_SNP3	1
1_SNP4	1
1_SNP5	1
1_SNP6	1
1_SNP7	1
1_SNP8	1
1_SNP9	1
1_SNP10	1
1_SNP11	1
1_SNP12	1
1_SNP13	1
1_SNP14	1
1_SNP15	1
1_SNP16	1
1_SNP17	1
1_SNP18	1
1_SNP19	1
1_SNP20	1
1_SNP21	1
1_SNP22	1
1_SNP23	1
1_SNP24	1
1_SNP25	1
1_SNP26	1
1_SNP27	1
1_SNP28	1
1_SNP29	1
1_SNP30	1
1_SNP31	1
1_SNP32	1
1_SNP33	1
1_SNP34	1
1_SNP35	1
1_SNP36	1
1_SNP37	1
1_SNP38	1
1_SNP39	1
1_SNP40	1
1_SNP41	1
1_SNP42	1
1_SNP43	1
1_SNP44	1
1_SNP45	1
1_SNP46	1
1_SNP47	1
1_SNP48	1
1_SNP49	1
1_SNP50	1
1_SNP51	1
1_SNP52	1
1_SNP53	1
1_SNP54	1
1_SNP55	1
1_SNP56	1
1_SNP57	1
1_SNP58	1
1_SNP59	1
1_SNP60	1
1_SNP61	1
1_SNP62	1
1_SNP63	1
1_SNP64	1
1_SNP65	1
1_SNP66	1
1_SNP67	1
1_SNP68	1
1_SNP69	1
1_SNP70	1
1_SNP71	1
1_SNP72	1
1_SNP73	1
1_SNP74	1
1_SNP75	1
1_SNP76	1
1_SNP77	1
1_SNP78	1
1_SNP79	1
1_SNP80	1
1_SNP81	1
1_SNP82	1
1_SNP83	1
1_SNP84	1
1_SNP85	1
1_SNP86	1
1_SNP87	1
1_SNP88	1
1_SNP89	1
1_SNP90	1
1_SNP91	1
1_SNP92	1
1_SNP93	1
1_SNP94	1
1_SNP95	1
1_SNP96	1
1_SNP97	1
1_SNP98	1
1_SNP99	1
1_SNP100	1
1_SNP101	1
1_SNP102	1
1_SNP103	1
1_SNP104	1
1_SNP105	1
1_SNP106	1
1_SNP107	1
1_SNP108	1
1_SNP109	1
1_SNP110	1
1_SNP111	1
1_SNP112	1
1_SNP113	1
